i like itu	positive
inti sukses depan amin	positive
very good	positive
bagus cuman tolong tambah bank bca	neutral
nanovest ya rugi juta rupiah grafik enggak real	negative
alhamdulillah	positive
aplikasi investasi daftar ojk ya ginigak jelasbeli emas turuntapi emas persentase untung merah merugiditanya bagaimana jelas nyasampai enggak kabarngeri ngeri sedap aplikasi investasi giniuntung coba dkit langsung tarok duit jamin rugi langsung nano enggak tau	negative
puas	positive
keren bang	positive
enggak id tag tulis jaring lagi baik tolong kasih terang kalau belum pakai	negative
akun curi orang tolong kembali lagi	negative
ok	positive
lumayan baiknanti problem selesai update bintangnnyatrms	positive
ok pul	positive
aplikasi gjls	negative
gera nano turun	negative
coba	neutral
ok good	positive
transaksi cepat terimakasih	positive
asu	negative
oke bagus proses cepat	positive
aplikasi bagus anugerah erti paket	positive
nice aplikasi	positive
lumayan bagus investasi	positive
the best applications	positive
aplikasi mudah mula	positive
terima kasih sudah hari ribu toppppppppppppppppppp pokok	positive
tolong apps lumayan ngeleg	neutral
verifikasi kyc email pakai banget	negative
saran gua skip bro aplikasi	negative
bagus transaksi lumayan cepat	positive
interface simpel bingung user	positive
suka aplikasi karena mudah paham dan proses cepat	positive
mudah nominal pakai rupiah enggak bingung fee rendah	positive
saya daftar umur enggak	negative
belum paham	neutral
aneh sih jadi takut eh memang tulis free biaya platform harga beda contoh seperti bitcoin market rp juta nano sudah rp juta hrganya bisa beda nila belum lagi kena ppn	neutral
lengkap	positive
mantap	positive
mantaapppp	positive
kyc tolak mulu jelek	negative
berita lengkap mantap mudah ambil putus	positive
tolong bantuin enggak kak kena tipu mohon bantu	neutral
baik tampil ui ux kak biar simple mudah ajar pemulaa	neutral
aplikasi lancar mudah simpleok banget	positive
user friendly aplikasi berat tapi normal keren	positive
mantap staking nanovest bukti bayar	positive
bagus aplikasi lengkap moga fee tarik dana gratis	positive
biaya mahal app asa berat	negative
weh minimal kasih tau bikin masuk bilang nama aplikasi langsung keluar bot aplikasi saja kagak ngebantu payah aplikasi buang cari aplikasi bahaya gue kagak tau	negative
oke	positive
aplikasi admin tipu bangkek	negative
cocok ajar investasi	positive
grup community banget atur aplikasi tulis akun batas hp apa	negative
transaksi moga untung	positive
mantap moga tingkat fiturnya	positive
bagus	positive
mantap aplikasi	positive
moga bantu	positive
aplikasi bagus bantu mula investasi	positive
rifiu jujur aplikasi betul jelek duit tarik rekening bank katnya tunggu kerja tunggu sudah masuk dana rekening aplikasi tahi enggak download aplikasi tipu	negative
real	positive
halo install aplikasi nomor datar daftar muncul hapus akun akunyang hapus daftar nanovest no telp kendala mana	neutral
limit order ok danagopay wd	neutral
banyak update update enggak	negative
langkah kenal investasi mudah lancar	neutral
enggak makek aplikasi email notif nanovest	negative
bagus mula saja ajar investasi top up mudah lancar alhamdulillah ya coba kalo gue coba lu kagak	positive
coba moga bagus	positive
merbot	neutral
mudah	positive
nanovest nanovest	positive
tanam saham aman apps karena sudah dapat izin ojk mantap suka nafizahan tman tman dftar silah isi undagannya auto bnus tanam saham aplikasi cocok tanam saham jangaka aplikasi modal investasi aman ragu	positive
bagus ajar sukses aplikasi	positive
terima kasih nanovast dah bikin cuan dah baik keluh dari	positive
enggak bisa akses kyc salah sistem mulu	negative
maaf wd dana enggak e walet	neutral
kode undang saldo ribu kosong	negative
saran developer update tambah log via emailmedia sosial log nomor hp karena nomor saja matihp hilang jadi mudah log platform akun	neutral
mantap banget nanovest ber infestasi mudah	positive
paham proses	neutral
okinget giftnya	positive
keren banget apknya	positive
kerja nanofest bisa hasil uang cepat	neutral
rekomendasi	negative
cari cuan aman	positive
hxnzy serta level gabung akun aktif bonusbonusnya aplikasi nanovest aplikasi bagus rekomen aplikasi senang lancar aplikasi lancar aplikasi kendala pokok aplikasi bagus	positive
semangat nanovest terus kembang karena proses khianat hasil ig	positive
lumayan bagipemula	positive
opsi tarik uang tambah minke olshop donkbiar biaya adminnya	neutral
enak investasi	positive
gua fitur keren banget gua notabane mahasiswa explore tambah alam finance	positive
tatang	neutral
buruk gua kecewa iklanya saldo tambah hari gua deposit tambah ngurangin anjink gua tipu enggak tarik dana	negative
enggak login suruh masukin tag pas masuk ganggu sistem silah coba sudah coba terus sudah ti hps tetap saja enggak	negative
kendala akun batas saldo dalam	neutral
bagus mantap cepat aman berkat super quantum engine komputer quantum	positive
mudah transaksi saham emasspenarikan cepat	positive
bagus aplikasi	positive
terima kasih sudah terima anggota digrrup	positive
okyy	positive
tolong buat sistem limit crypto ajar kripto fitur full informasi crypto	neutral
kecewa ya akurasi nilai rating saham prediksi harga cenderung akurat rugi invest saham percaya hasil analisa saham lenceng	negative
ck app elit kirim verif sulit	negative
aplikasi saham tebaik	positive
gagal ya bagi selfi enggak cocok sama dukcapil tolong bagaimana sudah enggak uninstall tolong lah	negative
top	positive
mudah ajar mantap	positive
verifikasi email bagaimana gue enggak enggak kirim email gue	negative
bagus	positive
buka pakai wifi enggak pakai paket data langsung buka buka aplikasi aman aman saja jaringanya	negative
verifikasi wajah gagal sudah	negative
lumayan	positive
tolong bebasin pajak pertaransaksi	neutral
alhamdulillah nanovest mantap mudah cepat paham moga depan tari pakai dana lebih is the best	positive
kasih bntang dulu kau bagus tambah entar gi	neutral
love this app	positive
dan proses	neutral
coba bagus enggak	neutral
nanovest nyediain tari dompet digital ya	neutral
keren cocok untukk mula	positive
bantu	positive
investasi mudah	positive
masih ajar	neutral
mudah erti	positive
moga aplikasi baik mudah untung	positive
settingsshortcut on mau be the best for you tapi be the best for you tapi be the	positive
top up biaya gratisluar terima kasih	positive
coba	neutral
moga aplikasi jalan	positive
lumayan	positive
daftanya susah enggak muncul email	negative
assalamualaikum teman mula iyya bagus	neutral
butuh update respon aplikasi lelet banget	negative
moga janji	positive
baguaa	positive
bagus banget nanobyte	positive
wd cepat deposit cepat good jobs	positive
aplikasi bagus instruem inbestasi saham emas kripto sayang aplikasi ngeleg baaaanget	negative
coba coba	neutral
proses cepat	positive
susah masuk email dll lengkap tapi masih susah top upnyaa alas lengkap data sudah kirim capeeeek deewk ngabiskan saja didownload saran	negative
mantap moga cuan	positive
suka bagus banget	positive
shiba goto the moon	positive
payah admin enggak bantu akun gua kena hack orang nomor hp langsung ganti retas gua bantu admin sudah surat nyata sudah poto ktp selfiktp ribet ajg bilang miror balik potonya padahal poto sudah benar dasar enggak bantu benar ajg enggak tindak nysel benar gua deposit dsini bngsddddd	negative
nice nanovest	positive
aplikasi bagus banget mula kayak ajar investasi fiturnya enggak pakai ribet aman jugaaa	positive
ok simpe tampil ok mudah mula	positive
moga nanoves bantu investasi	positive
install gara wkwkprojectcukup puas simpel mudah tinggal coinnya dibanyakin bintang auto order	positive
coba ajar investasi aplikasi lumayan mula	positive
mantap sudah	positive
mohon kak tolong tipu suruh ini nomor pin orang langsung blok tolong kak	neutral
bantu finansial	positive
mantap sih	positive
kendala verifikasi email	negative
tipu kedok investasi sih enak banget hapus aset orang beli aset bayang saja beli jta eh turun itu aset anggka kena delesting kembali pas turun saja sisa kmna rugi banget anjir	negative
gazz	positive
mudah erti	positive
sayang enggak tarik tunai ewallet	negative
enggak jelas banget sudah dijelasin rinci enggak dapat solusi akun sudah hapus karena nomor daftar enggak aktif hilang serta hpnya daftar pakai nomor ktp eh enggak akun sudah hapus kalo kayak begini diamdiam nyimpan data user database ya parah banget	negative
bagus pakai refferal vianly	neutral
suka aplikasi	positive
tolong nanovest fitur withdrawnya fitur e walletnya pindah jual aset kripto saham e wallet rekening bank bank portofolio income kena habis pajak aset saham	neutral
mantap investasi	positive
buruk operasi lelet serba lelet masukin otp salah tros	negative
bagus aplikasi bantu uang	positive
crypto nilai buy nilai sell rendah posisi sell check details inti harga crypto real time	neutral
tolong baik aplikasi ambil foto gagal sudah ikut arah aplikasi baik aplikasi	neutral
bintang sudah limit order tambah	positive
ira bohong susah foto kyc ngalamin kyc aplikasi belah lancar saja skip	negative
verifikasi kyc lalau gagal	negative
jalaluddin	neutral
bun nemu kurang	positive
rocknroll gasss	neutral
baik	positive
aplikasi simpel gampang	positive
enggak loginpadahal aset	negative
kok enggak bisa verifikasi email ya	neutral
daftar susah enggak verifikasi email aplikasi kaya berat banget	negative
nice aplikasi	positive
mnatal	positive
aplikasi rekomendasi mula mudah paham	positive
aplikasi proper	negative
mantaapppppo	positive
perfect	positive
kenapa tarik dana rekening bri enggak	neutral
nano speed apss suka banget pakenya anti ribet tapi ndk fitur tari dana ya percaya penuh trede ya sukses nano	neutral
mantap	positive
tuju bahagia	positive
mudah mudah amanah tahan	positive
bagus pandu milyarder muda	positive
pilih invest dana aman bank nama daftar cari ref salin hari	positive
inti orang investor	positive
aplikasi bagus banget sumpah kode	positive
belum fitur earn staking	neutral
aplikasi mudah moga profit	positive
jual kena nilai koin beli kena makan t app koin tambah enggak bappepti data enggak realtime mode pro enggak rugi guna	negative
okkwkw	positive
parah kalo ngadain event biar user salah paham lucu lu ngadain event ribet	negative
layan customer servise ramah	positive
tarik	positive
hyungnim reffer maret download kesini	neutral
ok	positive
profesional nanovest	positive
belum coba jadi bintang masuk kabarin wkkwkwkw	positive
aplikasi suka lag	negative
mudah cepat kialt	positive
senang kaum	neutral
the best	positive
mantap investasi	positive
bagus investasi aset digital	positive
regris ypc kok kirim email enggak masuk masuk ya	neutral
cashoutnya tolong baik systemnya lelet	negative
nonovest top mantap is the best	positive
akun akses ya akun batas tolong baik ya	neutral
aplikasi bagus mula mudah guna aplikasi	positive
masih mula ajar trading moga aplikasi baik mula	neutral
mudah lancar	positive
aplikasi tari gagal nama rekening nama daftar aplikasi beda bagaimana nama rekening daftar aplikasi bisa aplikasi bilang beda dasar aplikasi enggak tipu	negative
exchange murah mantap	positive
tampil ui oke biaya tarik uang admin standar biaya withdraw kripto minimal gasfee tawar kalah platform seperti indodax pluang pintu rang minimal withdraw gasfee attention konsumen	neutral
selesai kyc email masuk belum beli sahamsaya kasih b nanyi kalau email masuk kasih b	negative
burn	positive
aplikasi mudah paham	positive
good jobs	positive
moga cuan	neutral
bagus bos	positive
the best tolong grafik ubah candlestick lebih ok	positive
goodjob	positive
bagus mudah cepat	positive
aplikasi telat udet harga sell harga sambung	negative
very nice	positive
keren transaksi enggak sampay menit selesai respon admin via email cepat ramah terimakasih nano vest maju sukses	positive
salam sukses	positive
top	positive
good aplikasi	positive
tolong ubah bijak akun hapus dapat pulih	negative
invest mudah	positive
coba	neutral
masukin verifikasi email sulit banget sudah coba email tetap enggak bisa	negative
kode referal	neutral
hati hati inpestasi akun kunci alas hp rawan sadap uang sisa ribu akun dantida masuk suruh unistal install saja tida masuk inpestasi unga bayak	negative
aplikasi nanovest sederhana mudah paham mula profesional bidang saham trading i hope tapi get something worth itu	positive
moga mju trimakasih mula doa semu	positive
bagus	positive
coba ya moga sukses	neutral
temu akun kembalikini sudah logintinggal mnunggu panentrimakasih nanovest	positive
ok	positive
sumpah sesal taruh dana aplikasi ribet tari tunai nama norek sesuai muncul notif nama rekening sesuai hhhadddeeeehhhhh	negative
mantap	positive
mula	positive
mudah paham profit mantap aplikasi	positive
keluar biaya beli kena pajak jual kena withdraw potong ribu mending platform indodax gratis	negative
akun kunci masuk pin aplikasi alami ganggu proses ticketing email responya bicara robot manusia live chat menu bantu isi gform isi ribet upload foto tulis tangan buka akun tipu aplikasi update baru aplikasi hapus fitur bantu login nomor handphone itumempersulit	negative
aplikasi nge bug verifikasi biar kyc sudah isi email enggak pesan sampai berapa ngulang gjls	negative
lelet pas kyc but overall good and update coin mantap moga saja coin micin buah berkah	positive
mantapaplikasinya bagus recommended investasi sebelumny kendala good job masalah	positive
ok aplikasi cocok mula	positive
mantul aplikasi nanovest	positive
good	positive
aplikasi gampang erti	positive
puas investasi nanovest mudah paham aplikasi	positive
oke siiip	positive
pas mau masukin pin transaksi aplikasi ngelag lambat masukkeluar market	neutral
mohon kasih ewalet dana	neutral
nanovest percaya	positive
bintang fitur tarik uang ewallet	positive
mudah fiturnya bagus simple	positive
saran harap tarik tunai via ewallet top up ewallet	neutral
rugi tari	negative
good jobs	positive
jeu	neutral
mudah paham good	positive
enggak bisa narik saldo aneh sudah baca succes gbisa	negative
akun enggak buka karnakan nomor daftar hilang bantu buka	neutral
biar bintang	positive
saham bursa amazon buka sell pending mulu	negative
aplikasi bagus mudah paham kontrol main saham bagus	positive
mudah erti moga percaya terima kasih	positive
nanovest cair uang ewalet	neutral
sampah	negative
moga bisnis danhalal	neutral
kendala saya enggak wd dana	negative
terimakasih peluang ajar investasi modal	positive
top up apa ya	neutral
rekomen nanovest pasar saham ayo gabung nanovest	positive
kelaz	positive
bagus	positive
lumayan mula	positive
baik pokok	positive
such a good aplication	positive
aplikasi jelek	negative
bagus rekomend	neutral
bagus	positive
lumayan bagus aplikasi enggak ribet	positive
ya update progres	positive
pengin cari ilmu hasil	neutral
