text_steamindo	label
mantul pokok	positive
mari coba	positive
ok	positive
sahabat mula moga aman jaga	positive
fast respon	positive
mantap	positive
bagus enggak tampil informasi deviden saham as	positive
moga berkah	positive
rekomend mudah paham mantap banget	positive
oke	positive
proses deposit cepat	positive
mantap gampang erti	positive
mudah cepat	positive
bagus banget apknya pajak pas invest pas tarik nak pajak bagus pas investasi saja pajak	positive
bagus investasi aset digital	positive
aplikasi simple mudah the best pokok	positive
good	positive
aplikasi recommended banget mula treading investasi gua saran developer tambah ewallet tari mudah akun bank	positive
aplikasi bagus banget cocok anakanak muda coba beli saham amerika kripto emas modal minim bagus ajar masa pasti modal developer tolong tambah fitur stoploss mudah trader kurang rugi mantengin market amerika ngantuk terimakasih	positive
kembang platform depan orang paham bantu pilih investasi	positive
mantap	positive
user friendly	positive
bantu	positive
very good	positive
mudah erti moga percaya terima kasih	positive
bagus aplikasi	positive
bagus gampang banget aplikasi	positive
mudah murah investasi kriptosaham emas	positive
aplikasi nanovest sedia transaksi kripto lengkap kripto	positive
bagus aplikasi	positive
ok pul	positive
mantap	positive
aplikasi keren mula	positive
mudah	positive
ok ok	positive
mudah paham	positive
ayo ramairamai beli nanovest token	positive
nano keren hiden gem maju nanovest	positive
oke	positive
lengkap	positive
mantap mudah erti	positive
hebat	positive
mantu ontull gacorrr jackpot	positive
aplikasi bagus mantap	positive
fitur bantu manfaat	positive
moga sukses amin terimakasih nanovest	positive
topppppppppp	positive
mantan lur coba	positive
mantap	positive
mudah gratisss	positive
keren banget sumpah	positive
keren	positive
aplikasi nanovest cocok mula ajar saham crypto tampil tarik mudah paham nanovest beli emas cetak	positive
nicee	positive
well	positive
investasi senang	positive
nice	positive
mantap klaim	positive
cari cuan aman	positive
tari sat set	positive
bagus appsnya	positive
cocok pemuda	positive
good mula investasi	positive
mudah	positive
coba senang	positive
mantap top up enggak biaya admin	positive
mudah paham nyicil saham negerimantap	positive
bagus gampang erti mula mudah enggak ribet tolong bikin alert harga emas kaya alert harga kripto terima kasih	positive
bagus tolong moga bekerjasama e wallet tari	positive
oke banget dah pokonyamahh	positive
mantap aplikasi exchange	positive
moga mantul lan kuntul djoss	positive
wokeh	positive
aplikasi bagus banget bro recomed main koin nabung koin msa depanapalagi harga minim cuman moga aplikasi jangka	positive
mudah paham	positive
bagus	positive
nice good	positive
good platform	positive
lumayan	positive
nanovest bagus cocok mula moga nanovest percaya	positive
untung pakai nanovest	positive
mudah fiturnya bagus simple	positive
proses depo wd cepat	positive
good aplikasi	positive
moga sukses	positive
aplikasi bagus trading gampang paham untuk mula top up tarik saldo gampang cepat nanovest regulasi indonesia so tolong depan info aset baru untuk nasabah nanovest terimakasih	positive
bun nemu kurang	positive
good	positive
puas app cocok	positive
pakai aplikasi bagus banget invest	positive
senang aplikasi bingung pakai aplikasi crypto coba install aplikasi iniaku senang mudah pakai baru simple rekomendasi aplikasi	positive
suka keren banget sih apklikasi nya update bagus kalau invest crypto jadi gampang moga apklikasi terus josss kagak ada kendala	positive
tingkat app sudah bursa fiturnya good job ui bagus	positive
nabung dikit dikit	positive
mantabbb	positive
mantap mas bro keren tari cepat bosque	positive
bagus mula coba investasi	positive
userfriendly	positive
aplikasi keren investasi	positive
aplikasi bagus lengkap costumer service responsif mantap	positive
bagus	positive
lumayan bagipemula	positive
nanovest mantap beli emas dukung brand terpecaya	positive
mantap bos	positive
lumayan	positive
suka	positive
aplikasi bagus simple laba rugi terlihatbintang sayang transaksi rp	positive
mudah	positive
sep	positive
investasi rekomendit banget mula manfaat banget mantap	positive
terima kasih	positive
ya sudah mantap	positive
simpel mudah cepat	positive
syukur milik aplikasi nanovestsemoga depan manfaat orang sukses terima kasih	positive
bagus aplikasi	positive
mantap	positive
mantab baik	positive
ok	positive
the best tolong grafik ubah candlestick lebih ok	positive
lumayan bagus inves coba transfer cepat hitung menit tks	positive
mula gue ajar	positive
nanovest mantap	positive
bagus	positive
bagus mula	positive
detail	positive
gila	positive
ok	positive
bagus	positive
suka nanovest kripto banyak baru	positive
uke	positive
terima kasih nanovast dah bikin cuan dah baik keluh dari	positive
bagus aplikasi deposit withdraw cepat verifikasi cepat	positive
baik	positive
aplikasi mudah	positive
keren sih enggak rugi aplikasi	positive
afknya bagus	positive
ok aplikasi	positive
cocok	positive
mantap aplikasi	positive
aplikasi baik	positive
niceeee aplikasi	positive
mantap moga calon orang indonesia	positive
mnatap	positive
aplikasi mantap transaksi saham sama kripto	positive
aplikasi bagus	positive
aplikasi bagus rugi sukses maju terima kasih	positive
oke	positive
mudah paham	positive
nanovest oke	positive
aplikasi bagus	positive
tarik	positive
bantu investasi modal	positive
love this app	positive
is the best	positive
mudah cepat praktis	positive
siiip	positive
aplikasi cetak okb keren	positive
perfect	positive
bagus	positive
aplikasi bagus	positive
saham sedia aplikasi nanovest thanks	positive
ok banget	positive
overall aplikasi bagus saran nanovest tim moga depan emas sudah beli cetak	positive
wd cepat lesat cahaya	positive
mnatal	positive
mantaapppp	positive
baik dari semua aplikasi investasi lai	positive
hehe	positive
bagus bos	positive
mudah pakai	positive
good easy for app	positive
kehh	positive
nanovest rekomen no debat simpel inves goceng	positive
bismillah moga cuan jumat mei	positive
nanovest baik	positive
asih bintang komentar bagus bohong pakai aplikasi enggak rugi bagaimana rugi saham anjlok mending biyarin siyapa tau harga saha pas kiamat belum download mending enggak rugi kuota buka aplikasi enggak cuan	positive
aplikasi bagus investasi mula pesan depan moga nanovest	positive
salah aplikasi investasi komplitsimplebanyak pilihanterutama cryptosemoga koin beli	positive
so simple	positive
lumayan transaksi cepat pokok mantap lah nanovest	positive
cool	positive
oke siiip	positive
good aplikasi	positive
bagus murah trading saham beli rp	positive
investasi asikringan jaga amanah tambah aset invest	positive
baik	positive
inti orang investor	positive
investasi ya	positive
coba aplikasi bagus mudah fahami cocok mula ajar trading terima kasih	positive
simple mudah berinvest mula	positive
nice and quick response	positive
ok coba dulu	positive
mantap moga cuan	positive
syukur aplikasi	positive
mantap	positive
moga kecewa	positive
suka nanovest usaha bluechip murah beli saham	positive
mudah beli jual	positive
moga amanah	positive
bagus	positive
gandos	positive
suka banget aplikasi wd cepat top up cepat mantap	positive
mudah bagus	positive
pakai erti	positive
cocok mula mudah paham	positive
baik	positive
the best	positive
nyaman	positive
bagus aplikasi gampang moga untung kali idevenden	positive
recommended	positive
simpel	positive
pakai aplikasi selamat coba	positive
mantul enggak ada lawan pokok mah	positive
sangan mudah paham	positive
nanovest mantap	positive
asyik investasi aset crypto modal ribu	positive
keren	positive
bagus mantap	positive
mantabsluar	positive
bagus cepat	positive
settingsshortcut on mau be the best for you tapi be the best for you tapi be the	positive
bagus simple	positive
mantap guna	positive
biar bintang bicara	positive
mantap sih	positive
coba ajar investasi aplikasi lumayan mula	positive
mantap	positive
mantaf	positive
bantu finansial	positive
aplikasi mudah mula	positive
aplikasi bantu cinta crypto	positive
bagus aplikasi beli transfer mudah	positive
bagus mula	positive
fast	positive
nbt ok	positive
apliksai investasi lengkap saran metode tari dompet digital gopay dana terima kasih saran moga terima	positive
mudah transaksi saham emasspenarikan cepat	positive
bagus mudah	positive
gampang mengoprasikannya tarik	positive
puas mudah simple	positive
mula coba invest btc nanovest modal minim terima kasih nanovest	positive
moga cuan aplikasi amin	positive
yeahh	positive
mudah paham mula join	positive
mantap fast respon layan	positive
sudah bagus update tolong adakan fitur transfer coin exhange	positive
oke mantap	positive
mantap fast respon instans	positive
mantap jamin investasi	positive
nanovest baik daftar rumit mudah paham i	positive
wow	positive
ok gandhoss	positive
aplikasi bagus	positive
baik alhamdulilah	positive
aplikasi keren banyak eventx	positive
mantap moga tingkat fiturnya	positive
aplikasi bagus	positive
senang aplikasi mudah paham	positive
investasi mudah	positive
lumayan baiknanti problem selesai update bintangnnyatrms	positive
lumayan	positive
bagus	positive
keren modal dikit	positive
aplikasi rekomendasi mula mudah paham	positive
bagus	positive
sip	positive
coba coba ikut	positive
perfect	positive
mudah erti	positive
bintang alhamdulillah akun berkat bantu tim nanovest sabar invest	positive
keren	positive
mantap bilang aplikasi hebat ayo kaya nanovest	positive
aplikasi sudah bagus handphone tolong adakan pclaptop tampil luas	positive
mantap pokok minimal beli murah jangkau moga sukses	positive
aplikasi manfaat	positive
bagus mudah cepat	positive
aplikasi bagus lumayan untung tipis hehehe	positive
coba oke	positive
nanovest super investasi aman	positive
mantab jiwaaa	positive
bagus aplikasiya	positive
keren mudah tambah moga	positive
oke	positive
investasi kini ribet benar	positive
very good services	positive
bagus banget aplikasi	positive
investasi enggak pakai ribet ajjiib benar	positive
suka nano vest aplikasi keren banget trim	positive
bismillah	positive
i like this	positive
puas aplikasi	positive
simple mudah cepat	positive
aplikasi	positive
mudah jangkau	positive
mula	positive
mantul	positive
bagus banget	positive
mantap	positive
baik baik	positive
mantap aplikasi	positive
bagus beinvestasi nanovest download coba investasi nanovest coin	positive
terima kasih sudah hari ribu toppppppppppppppppppp pokok	positive
fly higher	positive
mudah	positive
bagus recommended	positive
keren langsung beli rioyoogas langsung coba ini bro auto cuan	positive
bagus aplikasi	positive
aplikasi bagus anugerah erti paket	positive
banyak bantu	positive
moga mju trimakasih mula doa semu	positive
luv	positive
good not delay	positive
mantap investasi mudah harga bulat	positive
moga depan amin	positive
lumayan tambah cuan	positive
lumayan wd cepat banget	positive
daftar ribet bantu	positive
mudah lancar	positive
aplikasi bagus mula mudah guna aplikasi	positive
keren bang	positive
good enggak sulit	positive
pakai beli saham amerika	positive
bagus aplnya widraw mudah	positive
good job	positive
pengin coba inves platform bagus bisa dari nilai mula	positive
loved	positive
investasi mudah biaya goceng doang	positive
i love nanoves	positive
cobasemoga bagussaya bintang	positive
mudah invest rendah moga lancar	positive
aplikasi bagus	positive
aplikasi bagus cocok mula guysss ya	positive
nice walupun verifikasi kayak pinjol	positive
mudah simpel praktis	positive
mudah tampil tarik	positive
baik	positive
usia asli coba saja itung nabung insyaallah apknya amanah bagus mudah erti	positive
aplikasi bagus mula tolong tambah chart chart lilin batang biar	positive
oke banget	positive
mantulll	positive
nanovest baik dukung exchange indonesia moga kembang tolong balas keluh customer ya terimakasih	positive
mudah nominal pakai rupiah enggak bingung fee rendah	positive
bagus transaksi pakai biaya	positive
cepetin listing koin koin meme listingnya	positive
mantap gampang metode bayar all varian mantap mudah paham	positive
nyaman tabung jangka	positive
mudah paham	positive
easy save the best	positive
oke mantepp gampang	positive
janji platform belah	positive
nanovest muda paham mantap terus inovasi	positive
oke mantap	positive
uiuxnya bagus sisi performa aplikasi tingkat bagus	positive
investasi mudah senang	positive
bagus apknya inves	positive
simpel praktis investasi	positive
nabung lupa	positive
ok aplikasi bantu tolong tingkat lagi	positive
aplikasi bagus tampil keren	positive
alam mnyenangkan nanovest	positive
fitur mudah cepat nanovest unggul	positive
moga bagus	positive
ajar mudah deskripsi produk	positive
nanovest memang cuann	positive
aplikasi percaya	positive
bagus	positive
aplikasi bantu kalian daftar grezly kalian uang tambah	positive
cepat transaksi	positive
top up beli crypto simple cepat akurat aplikasi turut ayo downloud nanovest	positive
senang	positive
bagus ui ux	positive
berkahh	positive
mantap	positive
keren cadazz	positive
mantap pokok aplikasi investasi ribet	positive
bagus	positive
tau aplikasi nanovest ya mantab nano	positive
mantap biaya	positive
untung jangka pendek nanovest potensi	positive
mantap ui aplikasi nanovest terbaique moga nano coin harga ya	positive
baik	positive
kasik bintang penuhtolong wd acc	positive
bagus aman	positive
kasih bintang ta coba kalau bagus	positive
cocok anak muda jaman top	positive
join deposit muda	positive
mantab moga nanovest depan	positive
kelaz	positive
nanovest baik crypto bumi kalo tambah bot tranding jual beli sesuai pesan swap transfer crypto enggak tari uang tunai lancar kalo tambah gopay dana ovo login pakai password email verifikasi autikator	positive
simpel praktis investasi nanovest bantu daftar menggunakaj gbnano beli jual saham langsung real time bebas biaya admin tari saldo investasi cepat saran tolong tambah fitur kirim wallet crypto	positive
mantap mula	positive
mudah paham profit mantap aplikasi	positive
keren habis mudah paham mula investasi mantaapppp tingkat limid order buy sell saham terimakasih	positive
kelaszzzz	positive
top	positive
bayar gampang	positive
tuju bahagia	positive
investasi aman janji	positive
gandosss mula	positive
bagus investasi nanovest	positive
moga lncar	positive
bagus mudah	positive
coba dulu	positive
baik bagus aplikasi enggak rasa sudah suka banget pakai aplikasi uinya bagus fitur bursa gue invest crypto gue enggak pakai aplikasi langsung good job nanovest ubah bintang kritik realistis saja bagus bagus enggak ya enggak	positive
mudah mudah hasil	positive
bagus	positive
amazing	positive
aplikasi bagus mengadakkan serok saham kripto	positive
investasi ok banget	positive
mudahmudahan bruntung	positive
mudah sukses	positive
moga bantu	positive
bagus simple	positive
keren cocok untukk mula	positive
